date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2026-03-01,,,,3,,,CANN,2025
2026-03-01,,0.2084,bmo,4,,525980340.0,RDNT,2025
2026-03-01,,-0.8643,bmo,4,,0.0,AVBP,2025
2026-02-27,,0.0077,bmo,4,,227106396.0,GOGO,2025
2026-02-27,,0.2446,amc,4,,,HE,2025
2026-02-27,,1.1309,bmo,4,,286479682.0,DKL,2025
2026-02-27,,-0.4039,bmo,4,,1078760333.0,CLMT,2025
2026-02-27,,,,4,,,CPTP,2025
2026-02-27,,-0.0152,bmo,4,,228415923.0,SHO,2025
2026-02-27,,-0.0408,bmo,4,,23546700.0,DIBS,2025
2026-02-27,,-0.0035,,1,,,LVRO,2026
2026-02-27,,0.2584,bmo,4,,48950055.0,TCPC,2025
2026-02-27,,0.606,bmo,4,,7007004280.0,GLP,2025
2026-02-27,,0.1883,bmo,4,,824053410.0,AMRX,2025
2026-02-27,,-0.07,bmo,4,,115781653.0,VIA,2025
2026-02-27,,-0.2244,amc,4,,72012000.0,MKTW,2025
2026-02-27,,0.1326,bmo,4,,31998420.0,INTT,2025
2026-02-27,,,,4,,,PAI,2025
2026-02-27,,0.0306,bmo,4,,87088283.0,FLGT,2025
2026-02-27,,0.204,,4,,58698960.0,ESCA,2025
2026-02-27,,,,3,,,TPTW,2025
2026-02-27,,-0.2564,bmo,4,,2387371.0,PRME,2025
2026-02-27,,0.2928,,4,,1129802523.0,NIQ,2025
2026-02-27,,-0.7777,amc,4,,9363600.0,FDMT,2025
2026-02-27,,1.3904,bmo,4,,424243430.0,NWN,2025
2026-02-27,,0.2601,bmo,4,,174950400.0,GOGL,2025
2026-02-27,,-0.0918,amc,4,,22269996.0,UUUU,2025
2026-02-27,,,,3,,,FLYE,2026
2026-02-27,,0.357,bmo,4,,3449866735.0,BTSG,2025
2026-02-27,,-0.0963,amc,4,,0.0,CMPX,2025
2026-02-27,,-0.1983,bmo,4,,2655162252.0,DK,2025
2026-02-27,,0.1944,bmo,4,,54545050.0,ABR,2025
2026-02-27,,-0.227,amc,4,,11577000.0,RPID,2025
2026-02-27,,2.0353,bmo,4,,236164241.0,ANIP,2025
2026-02-27,,-0.3697,bmo,4,,0.0,ALXO,2025
2026-02-26,,-0.3284,bmo,4,,171217200.0,LIND,2025
2026-02-26,,-0.4299,amc,4,,170757336.0,FIP,2025
2026-02-26,,0.2075,bmo,4,,195077244.0,THRY,2025
2026-02-26,,1.478,bmo,4,,927738530.0,FCN,2025
2026-02-26,,0.5042,amc,4,,40162092.0,FDUS,2025
2026-02-26,,-1.061,amc,4,,12893881.0,ACLX,2025
2026-02-26,,0.0264,,4,,2226567927.0,QXO,2025
2026-02-26,,0.6271,amc,4,,3063119920.0,AES,2025
2026-02-26,,,amc,4,,,CLPR,2025
2026-02-26,,-0.005,amc,4,,6089118.0,ICG,2025
2026-02-26,,0.4929,amc,4,,2080741023.0,MNST,2025
2026-02-26,,2.0936,bmo,4,,254846663.0,INSW,2025
2026-02-26,,0.4794,amc,4,,69853170.0,BCSF,2025
2026-02-26,,3.7975,bmo,4,,1275740958.0,NXST,2025
2026-02-26,,0.3535,bmo,4,,15736810.0,EIC,2025
2026-02-26,,1.5732,amc,4,,617712703.0,GLOB,2025
2026-02-26,,0.4965,amc,4,,1917245611.0,CTRA,2025
2026-02-26,,-0.2714,bmo,4,,17344033.0,WVE,2025
2026-02-26,,3.0749,amc,4,,11273647138.0,CRM,2026
2026-02-26,,0.6797,amc,4,,456110950.0,BVN,2025
2026-02-26,,3.7717,bmo,4,,928495020.0,TFX,2025
2026-02-26,,1.6483,amc,4,,386102800.0,NNI,2025
2026-02-26,,0.8588,bmo,4,,244176168.0,TGLS,2025
2026-02-26,,0.9965,amc,4,,216852000.0,HRTG,2025
2026-02-26,,-0.8178,bmo,4,,15093960.0,KYMR,2025
2026-02-26,,-0.2932,bmo,4,,461458842.0,GOLF,2025
2026-02-26,,0.221,amc,4,,76342236.0,AUPH,2025
2026-02-26,,0.5833,amc,4,,1371741600.0,TPC,2025
2026-02-26,,1.5218,amc,4,,449761044.0,ICFI,2025
2026-02-26,,-0.0444,amc,4,,322800040.0,RLJ,2025
2026-02-26,,-0.0428,amc,4,,36550822.0,CDXS,2025
2026-02-26,,0.1292,amc,4,,124471875.0,GRND,2025
2026-02-26,,-0.1054,amc,4,,476397120.0,CLOV,2025
2026-02-26,,0.844,amc,4,,281485881.0,DUOL,2025
2026-02-26,,-0.017,amc,4,,12954000.0,AIRG,2025
2026-02-26,,-0.2652,,4,,80580000.0,TWNP,2025
2026-02-26,,0.2708,bmo,4,,403641096.0,FA,2025
2026-02-26,,0.1111,amc,4,,219675000.0,EBS,2025
2026-02-26,,-0.1046,amc,4,,222121983.0,PLUG,2025
2026-02-26,,0.0,,4,,7344000.0,SLAI,2025
2026-02-26,,0.9281,amc,2,,822768552.0,ZS,2026
2026-02-26,,-0.5151,amc,4,,160842500.0,BHR,2025
2026-02-26,,-0.0008,amc,4,,236149493.0,CAI,2025
2026-02-26,,-0.0303,bmo,4,,679097063.0,RXT,2025
2026-02-26,,-0.2045,bmo,4,,91827030.0,SHEN,2025
2026-02-26,,0.5571,bmo,4,,383990128.0,PRKS,2025
2026-02-26,,-0.1151,amc,4,,135602472.0,AAOI,2025
2026-02-26,,,,4,,,ETHE,2025
2026-02-26,,1.0013,amc,4,,143355900.0,MAIN,2025
2026-02-26,,-0.0646,bmo,4,,20600940.0,DCTH,2025
2026-02-26,,-0.9739,bmo,4,,13041720.0,NTLA,2025
2026-02-26,,-0.4995,bmo,4,,80881338.0,NVAX,2025
2026-02-26,,2889.9999,bmo,4,,1075883719.0,AZUL,2025
2026-02-26,,0.1046,amc,4,,102186660.0,AMBA,2026
2026-02-26,,-0.0802,bmo,4,,1794860666.0,PENN,2025
2026-02-26,,3.1125,amc,4,,659665340.0,TLN,2025
2026-02-26,,-0.0646,bmo,4,,26443500.0,BFLY,2025
2026-02-26,,-0.34,bmo,4,,794265616.0,GTN,2025
2026-02-26,,-0.0332,,4,,339150.0,QUBT,2025
2026-02-26,,,,3,,,CRKN,2025
2026-02-26,,0.2142,amc,4,,176154000.0,ORGO,2025
2026-02-26,,0.389,bmo,4,,168301866.0,OPRA,2025
2026-02-26,,2.0294,amc,4,,5079713648.0,FLUT,2025
2026-02-26,,0.153,amc,4,,360954397.0,FOXF,2025
2026-02-26,,-0.0408,amc,4,,58331076.0,CTKB,2025
2026-02-26,,-0.0221,amc,4,,24563640.0,BLFS,2025
2026-02-26,,0.5049,bmo,4,,22038803.0,NREF,2025
2026-02-26,,-0.2754,amc,4,,0.0,GHRS,2025
2026-02-26,,0.6875,bmo,4,,311732400.0,INDV,2025
2026-02-26,,0.0379,amc,4,,194513663.0,REAL,2025
2026-02-26,,0.3672,amc,4,,524809125.0,TTEC,2025
2026-02-26,,-0.2508,amc,4,,7577525.0,PCT,2025
2026-02-26,,5.5328,bmo,4,,34059118758.0,VIPS,2025
2026-02-26,,-0.1918,amc,4,,105570.0,CRDF,2025
2026-02-26,,0.1689,amc,4,,215024293.0,DV,2025
2026-02-26,,0.1652,amc,4,,153106467.0,FIGR,2025
2026-02-26,,-0.269,amc,4,,164383643.0,SG,2025
2026-02-26,,-0.1392,amc,4,,46697823.0,WULF,2025
2026-02-26,,0.3791,amc,4,,283367362.0,CUBE,2025
2026-02-26,,0.537,bmo,4,,393336420.0,SMP,2025
2026-02-26,,-0.0918,amc,4,,7885620.0,CCEL,2025
2026-02-26,,-0.1559,amc,4,,1023453444.0,ALHC,2025
2026-02-26,,-0.031,amc,4,,9399212893.0,WBD,2025
2026-02-26,,0.5042,amc,4,,99106260.0,MSDL,2025
2026-02-26,,0.085,amc,4,,123247324.0,AVDX,2025
2026-02-26,,-0.4352,bmo,4,,173576796.0,CVEO,2025
2026-02-26,,-0.1088,amc,4,,5517516.0,DAIO,2025
2026-02-26,,0.816,bmo,4,,473976486.0,ACIW,2025
2026-02-26,,-0.2856,amc,4,,0.0,NVNO,2025
2026-02-26,,0.0909,amc,4,,113169081.0,AVPT,2025
2026-02-26,,0.0663,bmo,4,,59292345.0,CDRO,2025
2026-02-26,,0.0195,bmo,4,,1304445941.0,AMBP,2025
2026-02-26,,-1.4003,amc,4,,4833096.0,CRNX,2025
2026-02-26,,-0.1162,amc,4,,6060000.0,MBI,2025
